source,name,target
正方形,shapelimit,ABCD
BE,equals,BD
CE,parallel,BD
F,intersectPoint,BE
F,intersectPoint,CD
BE,intersect,CD
DE,equals,DF
AB,constructs,ABCD
BC,constructs,ABCD
CD,constructs,ABCD
AD,constructs,ABCD
A,constructs,AB
B,constructs,AB
B,constructs,BC
C,constructs,BC
C,constructs,CD
D,constructs,CD
A,constructs,AD
D,constructs,AD
B,constructs,BE
E,constructs,BE
B,constructs,BD
D,constructs,BD
C,constructs,CE
E,constructs,CE
D,constructs,DE
E,constructs,DE
D,constructs,DF
F,constructs,DF
